Husband Surname,Husband Given Name,Wife Surname,Wife Given Name,Marriage Date,Husband Career,Wife Career
Richards,Michael,Lecher,Grace,1756-02-07,Tinner,Spinster
Davy,Thomas,Andrew,Anne,1756-02-07,Husbandman,Spinster
Eudey,Richard,Wilkins,Zenobia,1756-02-24,Tinner,Spinster
Michell,Joseph,Angove,Catherine,1756-02-27,Tinner,Spinster
Eudey,Alexander,Webster,Jane,1756-04-17,Tinner,Spinster
Rice,George,Hill,Elizabeth,1756-11-27,Husbandman,Spinster
Rogers,David,Hocking,Ann,1756-12-24,,
Webster,Francis,Cosens,Elizabeth,1757-02-10,Tinner,Spinster
Tangye,John,Thomas,Elizabeth,1757-02-12,Tinner,Spinster
Martin,Henry,Richards,Mary,1757-06-02,Tinner,Spinster
Hosken,James,Rule,Anne,1757-08-06,Tinner,
Newton,Stephen,Pearce,Mary,1757-08-07,Tinner,Spinster
